Lens ID,Title,Publication Year,Publication Type,Source Title,Publisher,Source Country,Author/s,Abstract,Volume,Issue Number,Keywords
040-574-545-256-991,Diagnostic and Therapeutic Approaches in the Treatment of Gastric Cancer – A Scoping Review,2026,journal article,Acta Medica Bulgarica,Walter de Gruyter GmbH,,K. Angelov; N. Nachev; E. Yordanov; S. Stoyanova; N. Khayat; A. Sharkov; A. Zlatarov; T. Dyulgerov,"<jats:title>Abstract</jats:title>;                   <jats:p>Gastric carcinoma poses a significant clinical challenge and remains one of the leading causes of cancer-related mortality worldwide. Accurate classification of these tumors based on their histology, anatomical location, and molecular characteristics is essential, as it dictates both prognosis and therapeutic strategy.</jats:p>;                   <jats:sec>;                     <jats:title>Objective</jats:title>;                     <jats:p>to review the key classification systems that underpin the current understanding and treatment of gastric cancer, and to analyze new approaches to diagnosis and treatment through a systematic review of scientific publications.</jats:p>;                   </jats:sec>;                   <jats:sec>;                     <jats:title>Materials and Methods</jats:title>;                     <jats:p>we conducted a scoping review by searching for scientific publications in various sources – databases and printed literature, articles, textbooks, monographs, etc.</jats:p>;                   </jats:sec>;                   <jats:sec>;                     <jats:title>Results and Discussion</jats:title>;                     <jats:p>Lauren’s histological classification distinguishes between intestinal and diffuse types, which have different etiologies and prognoses. The anatomical location, especially the distinction between cardia and non-cardia cancer, is also important. The evolving under-standing of its biology, including the key role of H. pylori, hereditary syndromes, such as HDGC, and the clinical significance of TCGA molecular subtypes, has been changing the epidemiological landscape and shaping the current paradigm of multidisciplinary, mul-timodal treatment. Radical surgical treatment and adequate lymph node dissection determine the outcome of the disease. Advances in perioperative systemic treatments and a personalized approach based on biomarkers, such as MSI status for immunotherapy, improve treatment outcomes.</jats:p>;                   </jats:sec>",53,s1,
041-263-931-794-577,Occurrence Download,2026,dataset,Global Biodiversity Information Facility,,,GBIF.org User,"A dataset containing 3528 species occurrences available in GBIF matching the query: { ""and"" : [ ""TaxonKey is Sicista betulina"", ""Country is one of (Albania, Austria, Bosnia and Herzegovina, Belgium, Bulgaria, Belarus, Switzerland, Cyprus, Czechia, Germany, Denmark, Estonia, Spain, Finland, France, United Kingdom of Great Britain and Northern Ireland, Greece, Croatia, Hungary, Ireland, Italy, Lithuania, Luxembourg, Latvia, Moldova, Republic of, Montenegro, North Macedonia, Malta, Netherlands, Norway, Poland, Portugal, Romania, Serbia, Sweden, Slovenia, Slovakia, Türkiye, Ukraine, Kosovo)"", ""HasCoordinate is true"" ] } The dataset includes 3528 records from 70 constituent datasets; see https://api.gbif.org/v1/occurrence/download/0008355-260120142942310/datasets/export for details. Data from some individual datasets included in this download may be licensed under less restrictive terms.",,,
041-852-950-642-953,"SOCIAL MEDIA MARKETING AS A TOOL FOR SUSTAINABILITY IN BRAZIL, THE EUROPEAN UNION AND BULGARIA",2026,journal article,Veredas do Direito,Brazilian Journals,,Elena Zlatanova-Pazheva; Tanya Gigova,"<jats:p>Social and digital media have become essential tools for promoting sustainability and the circular economy. They are used in different ways depending on regional conditions. The goal of the article is to compare social media marketing activities for sustainable development promotion in Brazil and the European Union (EU), with a special focus on Bulgaria as a case study. Based on secondary data sources the article examines the impact of digital communication strategies on consumer awareness and adoption of the circular economy. The findings highlight distinct regional approaches to digital sustainability marketing.</jats:p>",23,4,
041-948-689-234-775,"Integrated care management for older multimorbid patients with atrial fibrillation: Rationale, design and baseline characteristics for the atrial fibrillation integrated approach in frail, multimorbid and polymedicated older people (AFFIRMO) trial.",2026,journal article,American heart journal,Elsevier BV,United States,Marco Proietti; Gregory Y H Lip; John Ainsworth; Gheorghe-Andrei Dan; Lars Frost; Guendalina Graffigna; Donata Lucci; Francisco Marin; Tatjana S Potpara; Alam Sanaullah; Mariya Tokmakova; Søren Paaske Johnsen; Aldo Pietro Maggioni; null null,"<AbstractText Label=""INTRODUCTION"" NlmCategory=""BACKGROUND"">Atrial fibrillation (AF) is the most common arrhythmia in older people, with an increasing prevalence of various geriatric conditions, such as multimorbidity, and frailty. A contemporary integrated approach is effective in reducing the risk of clinical adverse events, particularly when streamlined through the application of the Atrial Fibrillation Better Care (ABC) pathway, as proven in 2 non-European trials.</AbstractText>;           <AbstractText Label=""METHODS"" NlmCategory=""METHODS"">The atrial fibrillation integrated approach in frail, multimorbid and polymedicated older people (AFFIRMO) trial, a European multicenter, open-label, cluster-randomized study, will examine whether a mobile-health integrated care approach based on the ABC pathway combined with a multidimensional Comprehensive Geriatric Assessment (CGA) can reduce the 12-month risk of unplanned all-cause hospitalizations in patients with AF ≥65 years with ≥1 concomitant chronic condition(s).</AbstractText>;           <AbstractText Label=""RESULTS"" NlmCategory=""RESULTS"">The AFFIRMO trial enrolled 1,260 patients with AF (mean age 74 [SD 6] years; 44.4% female) across 6 European countries (Bulgaria, Denmark, Italy, Romania, Serbia, and Spain). At baseline, the median (IQR) CHA<sub>2</sub>DS<sub>2</sub>-VASc score was 4 (3-5), and the median (IQR) HAS-BLED score was 1 (1-2). Hypertension was reported in 992 (78.7%) patients, and diabetes mellitus in 369 (29.3%) patients. Among the enrolled patients, 507 (40.5%) were prefrail, and 171 (13.7%) were frail. Oral anticoagulants (OACs) were prescribed for 1,225 (97.2%) patients, with 1,149 (91.2%) patients receiving non-VKAs oral anticoagulants (NOACs). Follow-up is ongoing and planned to be completed in January 2026.</AbstractText>;           <AbstractText Label=""CONCLUSIONS"" NlmCategory=""CONCLUSIONS"">The AFFIRMO trial will provide evidence on the efficacy of the ABC pathway in conjunction with the CGA approach in reducing the risk of unplanned all-cause hospitalizations and other clinical adverse events in older, multimorbid patients with AF.</AbstractText>;           <AbstractText Label=""REGISTRATION"" NlmCategory=""BACKGROUND"">ClinicalTrials.gov identifier: NCT06775028.</AbstractText>;           <CopyrightInformation>Copyright © 2026 The Authors. Published by Elsevier Inc. All rights reserved.</CopyrightInformation>",295,,
042-110-200-141-766,Cecal Duplication Cyst Presenting with Complications in Early Childhood: A Case Report,2026,journal article,Acta Medica Bulgarica,Medical Information Center,Bulgaria,Stoyan Lilov; Nadezhda Tolekova; T. Georgiev; Nikola Kartulev; Nia Atanasova; Kaya Pamukova; E. Rangelov; Hristo Shivachev,"Abstract Alimentary tract duplications are a rare congenital anomaly. Their clinical manifestation may vary depending on the location, size and communication with the adjacent bowel. We present a rare case of a 2-year-old girl who was admitted with intermittent ab-dominal pain, low-grade fever, and signs suggestive of complicated appendicitis. Laboratory investigations revealed elevated inflammatory markers. Abdominal ultrasound and CT scan demonstrated a right-sided mass compressing the cecum, with radiological features suggestive of a fecaloma, possible intussusception, or retroperitoneal abscess. Surgical exploration revealed a large retroperitoneal mass adherent to the cecum and surrounding structures. An ileocecal resection with end-to-side ileocolic anastomosis was performed. Histopathological analysis confirmed a complicated cecal duplication cyst with fecal impaction and chronic inflammation. Cecal duplication cysts, though rare, should be considered in the differential diagnosis of right lower quadrant masses in children. Surgical resection remains the definitive treatment, particularly in complicated cases. Timely detection and appropriate surgical management can lead to excellent outcomes.",56,s1,
042-590-652-180-454,"Magic for ""Throwing on"" a Little Child's Crying in Bulgarian Practices",2026,journal article,"The Balkans – Language, History, Culture","""St. Cyril and St. Methodius"" University of Veliko Tarnovo",,Iliyana Gancheva,,9,1,
043-034-387-063-79X,"The trans-Alkynylphosphine Oxide Complex of Pt(II): Synthesis, Spectroscopic Characterization, Crystal and Electronic Structures",2026,journal article,Journal of Structural Chemistry,Pleiades Publishing Ltd,Russian Federation,D. A. Snetkov; M. A. Malazoniya; S. O. Slavova; M. E. Luginin; E. V. Grachova,"A new trans-bisalkynyl complex of Pt(II) is synthesized. It contains alkynyl ligands with the diphenylphosphoryl group and additional triphenylphosphine ligands. The composition and structure of the obtained complex are determined by high-resolution mass spectroscopy, polynuclear NMR and IR spectroscopy techniques. The molecular structure of the complex is determined by the single crystal X-ray diffraction analysis. The obtained complex is not found to demonstrate photoluminescence, which can be explained by the atypical composition and energy of electronic transitions described based on the quantum chemical computations.",67,1,
043-603-059-462-414,Interview with Sofia Bezvoleva,2026,other,The British Museum,,,Viorel Miron,"The carpet ""Two Bouquets"" - length 2 m, width 1.6 m woven in the 1970 by the respondent, Bezvoleva Sofya. It represents one of the several types of carpets woven most often by Bulgarian women in Moldova, especially in the village of Stoianovca. This is a composition of two bouquets of roses, woven in red and green tones, on a black background, surrounded by a floral ribbon also made of red roses and green gyul leaves.",,,
043-731-281-042-96X,Linked collectors and determiners for: Twenty-five-year mapping of species of the superfamily Cercopoidea (Hemiptera: Auchenorrhyncha) in Bulgaria.,2026,dataset,Zenodo (CERN European Organization for Nuclear Research),,,null Bionomia,"Natural history specimen data linked to collectors and determiners held within, ""Twenty-five-year mapping of species of the superfamily Cercopoidea (Hemiptera: Auchenorrhyncha) in Bulgaria"". Claims or attributions were made on Bionomia by volunteer Scribes, https://bionomia.net/dataset/870ac935-39e4-4567-99c2-5e2dc29f0e11 using specimen data from the dataset aggregated by the Global Biodiversity Information Facility, https://gbif.org/dataset/870ac935-39e4-4567-99c2-5e2dc29f0e11. Formatted as a Frictionless Data package.",,,
043-863-670-724-870,"Figure 2 from: Milushewa P, Petrova G (2026) Developing a national digital platform for detecting potentially inappropriate medications: adaptation of the EU(7)-PIM list to Bulgarian healthcare practice. Pharmacia 73: 1-6. https://doi.org/10.3897/pharmacia.73.e178435",2026,component,,Pensoft Publishers,,Petya Milushewa; Guenka Petrova,,,,
043-955-201-047-57X,Abstract PS1-03-14: Spire-bc: a clinically-integrated prognostic tool to identify breast cancer patients in need of early supportive care,2026,journal article,Clinical Cancer Research,American Association for Cancer Research (AACR),United States,T. Yordanov; P. Spasov; M. Musin; I. Pandzharova; S. Tuncheva; T. Karanikolova; S. Velchova; A. Konsoulova,"<jats:title>Abstract</jats:title>;                   <jats:sec>;                     <jats:title>Background:</jats:title>;                     <jats:p>Early supportive care integration improves quality of life and may enhance survival in patients with advanced breast cancer. However, identifying the right timing and patient subset for such interventions remains a challenge in routine clinical settings. SPIRE (Supportive care &amp; Prognostic Insights in Risk Evaluation) is a pragmatic screening tool that incorporates clinician judgment and key clinical variables to stratify oncology patients into risk groups for targeted early supportive care intervention.</jats:p>;                   </jats:sec>;                   <jats:sec>;                     <jats:title>Methods:</jats:title>;                     <jats:p>We performed a subgroup analysis of breast cancer patients (ICD code 50) within a prospective departmental implementation of SPIRE from April to June 2025 at the Medical oncology clinic, University Hospital of Oncology Prof. Ivan Chernozemski, Sofia. The SPIRE score integrates the surprise question (12-month mortality), ECOG status, metastatic burden, brain metastases, and comorbidities. Patients were stratified into low (0-1), medium (2-3), or high (≥4) risk categories. Referral to supportive care and preliminary follow-up status were tracked. A prospective validation strategy was pre-planned with three time-based cutoffs (month 4, 8, and 12) to evaluate the prognostic value of SPIRE in predicting 12-month mortality. Due to the prospective, pragmatic design, data reflects visit-level documentation; patient-level analyses are planned as the dataset matures.</jats:p>;                   </jats:sec>;                   <jats:sec>;                     <jats:title>Results:</jats:title>;                     <jats:p>Across 1,711 recorded visits between April and June 2025 (representing 737 unique breast cancer patients), 1,279 visits (74.7%) were categorized as low risk, 342 (20.0%) as medium risk, and 85 (5.0%) as high risk. Metastatic disease was present in 946 visits (55.3%), brain metastases in 86 (5.0%), and clinically significant comorbidities in 313 (18.3%). ECOG ≥2 was recorded in 89 visits. Referral to supportive care was documented in 190 visits (11.1%). Follow-up SPIRE score transitions were analyzed in 969 instances. Preliminary trend analysis showed worsening in 131 cases (13.5%) and rapid deterioration (defined as ≥2-point score increase within ≤7 days) in 8 patients. The mean normalized score change was +0.03 (SD ±2.74). These findings support the tool’s dynamic tracking potential, pending formal prospective validation.</jats:p>;                   </jats:sec>;                   <jats:sec>;                     <jats:title>Conclusions:</jats:title>;                     <jats:p>SPIRE is feasible to implement in routine breast cancer care and effectively stratifies patients based on prognosis and complexity. Its prospective validation will assess real-world prognostic performance, with the goal of enhancing timely and personalized supportive care delivery. Early findings suggest that SPIRE may serve as a valuable clinical trigger for palliative care referrals in breast cancer patients.</jats:p>;                   </jats:sec>;                   <jats:sec>;                     <jats:title>Citation Format:</jats:title>;                     <jats:p>T. Yordanov, P. Spasov, M. Musin, I. Pandzharova, S. Tuncheva, T. Karanikolova, S. Velchova, A. Konsoulova. Spire-bc: a clinically-integrated prognostic tool to identify breast cancer patients in need of early supportive care [abstract]. In: Proceedings of the San Antonio Breast Cancer Symposium 2025; 2025 Dec 9-12; San Antonio, TX. Philadelphia (PA): AACR; Clin Cancer Res 2026;32(4 Suppl):Abstract nr PS1-03-14.</jats:p>;                   </jats:sec>",32,4_Supplement,
044-167-596-196-498,Evaluation of Pattern Design of Women's Jackets with Sleeves with Wedges,2026,book chapter,Lecture Notes on Multidisciplinary Industrial Engineering,Springer Nature Switzerland,,Krasimira Radieva; Zlatina Kazlacheva; Julieta Ilieva; Petya Dineva; Zlatin Zlatev,,,,
044-167-697-683-543,"Comparative Analysis of Labor Markets in Bulgaria, Italy, and the UK: Wage Dynamics, Labor Costs, and Digital Development",2026,journal article,Economies,MDPI AG,,Dmytro Zherlitsyn; Nataliia Rekova,"<jats:p>This article examines labor market dynamics in Bulgaria, Italy, and the United Kingdom by integrating demographic pressures, wage and labor cost adjustment, redistribution mechanisms, inequality outcomes, and digital readiness into a single comparative framework. This study first applies hierarchical clustering to a harmonized EU country panel for 2017–2024, using GDP per capita in PPS, average annual wage, and unemployment rate to position the three countries within the European convergence space and income–labor cost groupings. The results show that Bulgaria belongs to a low-income, fast-converging group, with nominal wages and hourly labor costs more than doubling, strong real-wage growth from a low base, and an improving price level index. At the same time, unemployment fell to below the EU average, yet income inequality remains persistently high. Italy represents a high-income but slow-growing labor market, in which real wages have declined, and labor costs per hour remain above the EU mean with a significant non-wage component. Unemployment remains relatively elevated, indicating divergence in workers’ purchasing power despite high income levels. The UK has labor costs in the mature high-income range, low unemployment, and the lowest tax wedge for low-wage workers, but with relatively high and volatile inequality. This study shows that wage dynamics, labor cost composition, and tax–benefit structures jointly mediate the translation of macroeconomic performance into household outcomes, generating distinct policy trade-offs across the three labor market configurations. Digital indicators further suggest that income level is not a sufficient predictor of digital engagement and that the observed aggregate labor market trends do not indicate a sharp employment contraction contemporaneous with the diffusion of technical innovations, such as generative AI.</jats:p>",14,1,
044-231-059-218-931,A Comparative Analysis of Battery Performance Prediction Models,2026,journal article,Engineering Sciences,Prof. Marin Drinov Publishing House of BAS (Bulgarian Academy of Sciences),,Anna Stoynova; Georgy Mihov; Nadezhda Kafadarova; Sotir Sotirov,,LXII,4,
044-240-886-484-971,Artificial Intelligence for Studying Interactions of Solitons and Peakons,2026,journal article,Mathematics,MDPI AG,,Angela Slavova; Ventsislav Ignatov,"<jats:p>In this paper, Artificial Intelligence (AI) is developed for studying the Boussinesq Paradigm equation and so called b-equation based on Physics-Informed Cellular Neural Networks (PICNNs). The models studied here come from fluid dynamics. Machine learning through Physics-Informed Neural Networks (PINNs) is a powerful tool for solving complex problems arising in physical laws. By optimization and automatic differentiation, the solutions of the model under consideration can be approximated precisely and can be obtained in real time. In this paper, we shall apply a new algorithm based on Physics-Informed Cellular Neural Networks (PICNNs) for obtaining the interactions between solitons and peakons. The algorithm has many advantages, but the main ones are that it provides the fastest programming and solutions in real time. It is known that Cellular Neural Networks (CNNs) have the ability to approximate, in a very accurate way, nonlinear partial differential equations (PDEs) and to present their solutions in real time. By incorporating the physical laws into the learning process through PICNN we can solve various problems from fluid dynamics, material science, and quantum mechanics.</jats:p>",14,1,
044-315-723-415-334,Transformation of the Biological Paradigm in Bone Regeneration: An Integrative Review,2026,journal article,Journal of Developmental Biology,MDPI AG,,Diyana Vladova,"<jats:p>Bone tissue is among the most commonly transplanted tissues worldwide. The treatment of critical-sized bone defects remains a significant challenge, as there is currently no universally accepted experimental model or therapeutic standard. Recent advances in fundamental cell biology are driving a paradigm shift in approaches to bone regeneration, highlighting the transformative potential of biofabrication technologies that integrate tissue engineering with personalized regenerative strategies. Three-dimensional (3D) bioprinting technology enables precise control over the architecture and spatial distribution of cellular and biologically active components, facilitating the creation of complex, personalized bone constructs. Central to this process are bioinks and biomaterials that mimic the extracellular matrix (ECM) and provide an optimal microenvironment for cellular function. Despite the substantial body of accumulated data, a comprehensive theoretical framework for functional bone biofabrication has not yet been fully established, emphasizing both the challenges and the innovative potential of the field. This integrative review synthesizes current knowledge on bone biology—from embryogenesis and cell–matrix interactions to molecular and neural regulation—and links it to the opportunities offered by biofabrication. Particular attention is given to bioinks as mediators between cell biology and engineering sciences, as well as to strategies for creating biomimetic ECM, optimizing scaffold design, and guiding future research toward clinically translatable bone regeneration.</jats:p>",14,1,
044-454-814-236-374,"Incidence, Risk Factors, and Temporal Trends of Tongue Cancer: A Population-Based Study.",2026,journal article,Cancer medicine,Wiley,United Kingdom,Junjie Huang; Wing Sze Pang; Claire Chenwen Zhong; Fung Yu Mak; Sze Chai Chan; Jinqiu Yuan; Lin Zhang; Wanghong Xu; Zhi-Jie Zheng; Zigui Chen; Jason Y K Chan; Martin C S Wong,"<AbstractText Label=""BACKGROUND"" NlmCategory=""BACKGROUND"">Tongue cancer is the most prevalent form of cancer in the intraoral region across many countries. This study aims to explore the global burden of the disease, its associated risk factors, and trends in incidence over time across different demographic groups.</AbstractText>;           <AbstractText Label=""METHODS"" NlmCategory=""METHODS"">Data were extracted from the Global Cancer Observatory, Cancer Incidence in Five Continents Plus, Global Burden of Disease, the United Nations, and the World Bank. Linear regression analysis was applied to assess the relationship between tongue cancer incidence and various factors. Temporal trends in tongue cancer incidence across countries and regions were analyzed using the Average Annual Percentage Change (AAPC). The accuracy of these trend estimates was reported with 95% confidence intervals (CI).</AbstractText>;           <AbstractText Label=""RESULTS"" NlmCategory=""RESULTS"">A total of 151,338 cases of tongue cancer were identified globally, with an age-standardized rate (ASR) of 1.7 per 100,000 population. The highest ASRs were observed in South-Central Asia (3.4), Northern America (2.3), and Northern Europe (2.1). Males were found to have a higher ASR (2.6) compared to females (0.86). Tongue cancer incidence was significantly linked to a higher prevalence of smoking (β = 0.038, CI: 0.016-0.059, p = 0.001), alcohol consumption (β = 0.049, CI: 0.027-0.072, p &lt; 0.001), and dietary factors (β = 0.013, CI: 0.002-0.024, p = 0.025). An increasing trend was presented globally based on pre-2013 data, except for the Philippines, which showed the only significant drop.</AbstractText>;           <AbstractText Label=""CONCLUSION"" NlmCategory=""CONCLUSIONS"">Geographical variation was observed in tongue cancer, with South-Central Asia having the highest disease burden. The higher incidence of tongue cancer in males may be attributed to smoking and alcohol, highlighting the need for intensive lifestyle modifications.</AbstractText>;           <CopyrightInformation>© 2026 The Author(s). Cancer Medicine published by John Wiley &amp; Sons Ltd.</CopyrightInformation>",15,2,age‐standardized rate; average annual percentage change; incidence; temporal trend; tongue cancer
044-484-277-226-222,Sheep shearing,2026,other,The British Museum,,,Viorel Miron,"Documentation in the barn on May 6 (St. George's Day, patron saint of Bessarabian Bulgarians and of sheep farming) about the process of shearing sheep and collecting wool as raw material for the production of woolen yarn for weaving. Up to 5 kg of wool is taken from one sheep.",,,
044-559-981-525-780,Bulgarian Resource Adequacy Assessment - 2026 Edition,2026,journal article,Zenodo (CERN European Organization for Nuclear Research),,,Stefan Sulakov; Nikolay Chavdarov,"This adequacy study is performed pursuant to Article 24 of Regulation (EU) 2019/943 of the European Parliament and of the Council of 5 June 2019 on the internal market for electricity. It has a regional scope, and it is based on the methodology referred to in Article 23(3) in points (b) to (m) of Article 23(5) of the mentioned Regulation.Bulgarian resource adequacy assessments 2026 (BGRAA 2026) contains the reference central scenario (WAM – with additional measures) based on BGINECP. In addition, BGRAA 2026 assumes extra scenarios that reflect the various sensitivities, such as no offshore Wind development and without BESS integration in contrast to BGINECP. It falls short of the scope specified in the legislative package for ""Clean Energy for All Europeans"". As a lot of specific information is needed to forecast and optimize a power system's operation, the BGRAA 2026 scenarios and outcomes should not be interpreted or used under this new legal framework. Even with the greatest data available, the results are subject to significant ambiguity, which makes it challenging for market participants to make decisions.",,,
044-754-701-979-985,New patient safety social marketing and communication campaign strategy: Georgia case,2026,book chapter,Healthcare Systems Ergonomics and Patient Safety 2011,CRC Press,,Maia Tskitishvili; George Gegelashvili,"Georgian Alliance for Patient Safety was established in 2005. The main goal of the Alliance was support of health care quality and safety improvement. In the period of 2005–2010 the following activities have been conducted: 1. Study of health care personnel and consumers: medication safety; responsibilities of the patient; safety culture; medical errors; review of patients’ complaints. 2. Trainings: training of physicians, nurses, and managers at hospitals and family medicine centers. 3. Development of conceptual document: Patient-centered health care implementation social marketing strategy and public relations communication campaign have been developed. 4. Analysis and review: the Strategy was reviewed in Georgia (policymakers, providers, consumers) and 5 meetings of International Initiative “Eastern European and Asian Organizations for Patient Safety” with participation of representatives from: Armenia, Azerbaijan, Bosnia and Herzegovina, Bulgaria, Georgia, Kazakhstan, Kyrgyzstan, Lithuania, Macedonia, Moldova, Mongolia, Poland, Republic Belarus, Russia, Slovenia, Ukraine and Uzbekistan.",,,
044-876-670-879-556,Prevalence of Low Bone Density and Fracture Risk Assessed with the FRAX Tool in German Patients with Axial Spondyloarthritis: A Cross-Sectional Study,2026,journal article,Life,MDPI AG,Switzerland,Elena Bischoff; Philipp Sewerin; Björn Bühring; Nikola Kirilov; Xenofon Baraliakos,"<jats:p>Introduction: Chronic inflammation in axial spondyloarthritis (axSpA) promotes osteoclast formation and bone resorption, leading to osteoporosis and an increased risk of fragility fractures. Osteoporotic fractures significantly impact the quality of life in patients with axSpA. While the Fracture Risk Assessment Tool (FRAX) is widely used to evaluate fracture risk, data on FRAX-based fracture risk assessment in axSpA, particularly in German patients, are limited. Objective: The primary objective of this study was to assess the prevalence of low bone mineral density (BMD) and fracture risk using FRAX for major osteoporotic fractures (MOF) and hip fractures (HF) in German patients with axSpA. Secondary objectives were to compare FRAX scores and BMD between genders and between patients with and without previous fractures, and to identify which FRAX parameters were most frequently abnormal. Materials and Methods: This retrospective study analyzed demographic and clinical data, along with DXA-measured BMD, T-scores and Z-scores of the lumbar spine and femoral neck in 58 axSpA patients aged 43–81 years from routine clinical practice. Calculations for MOF and HF were performed using the FRAX model for Germany. Low BMD was defined as a T-score &lt; −1 SD or a Z-score &lt; −2 SD. Statistical analyses included independent t-tests and chi-square tests. Results: The mean age of patients was 65 years with a mean BMI of 29.5 kg/m2. The prevalence of low BMD was 44.8% at the lumbar spine and 60.4% at the femoral neck. Overall, 10 (17.2%) patients reported previous fractures of the spine, forearm, hip, or shoulder. Female patients had higher FRAX scores for MOF (8.2%) than males (6.8%, p = 0.02), while male patients had higher FRAX scores for HF (2.8% vs. 2%, p = 0.04). There was no significant difference in BMD between patients with or without a history of fracture. However, patients with previous fractures had significantly higher FRAX scores for MOF (10.2%) compared to those without fractures (7.3%, p = 0.030); the difference in HF scores was not statistically significant (3.5% vs. 2%, p = 0.056). Conclusions: This study highlights the elevated fracture risk in axSpA patients assessed with FRAX. In this cohort, BMD alone was not associated with fracture history, suggesting that other factors—such as age, sex, glucocorticoid exposure, and prior fractures—may play a more prominent role. FRAX provides a valuable tool for evaluating fracture risk in axSpA, emphasizing the importance of a comprehensive assessment that incorporates both clinical risk factors and BMD.</jats:p>",16,3,
045-258-926-085-089,Segmentation and Tracking of Eruptive Solar Phenomena With Convolutional Neural Networks,2026,journal article,Journal of Geophysical Research: Machine Learning and Computation,American Geophysical Union (AGU),,Oleg Stepanyuk; Kamen Kozarev,"<jats:title>Abstract</jats:title>;                   <jats:p>Solar eruptive events are complex phenomena, which most often include coronal mass ejections (CME), CME‐driven compressive and shock waves, flares, and filament eruptions. CMEs are large eruptions of magnetized plasma from the Sun's outer atmosphere or corona, that propagate outward into the interplanetary space. Over the last several decades a large amount of remote solar eruption observational data has become available from ground‐based and space‐borne instruments. This has recently required the development of software approaches for automated characterization of eruptive features. Most solar feature detection and tracking algorithms currently in use have restricted applicability and complicated processing chains, while complexity in engineering machine learning (ML) training sets limit the use of data‐driven approaches for tracking or solar eruptive related phenomena. Recently, we introduced Wavetrack ‐ a general algorithmic method for smart characterization and tracking of solar eruptive features. The method, based on a‐trous wavelet decomposition, intensity rankings and a set of filtering techniques, allows to simplify and automate image processing and feature tracking. Previously, we applied the method successfully to several types of remote solar observations. Here we present the natural evolution of this approach. We discuss various aspects of applying ML techniques toward segmentation of high‐dynamic range heliophysics observations. We trained Convolutional Neural Network image segmentation models using feature masks obtained from the Wavetrack code. We present results from pre‐trained models for segmentation of solar eruptive features and demonstrate their performance on a set of CME events based on SDO/AIA instrument data.</jats:p>",3,1,
045-483-369-712-49X,The 'Atrial Fibrillation Better Care' Pathway for Integrated Care of Atrial Fibrillation: A Systematic Review and Meta-Analysis.,2026,journal article,Thrombosis and haemostasis,Georg Thieme Verlag KG,Germany,Giulio Francesco Romiti; Bernadette Corica; Tommaso Bucci; José Miguel Rivera-Caravaca; Francisco Marín; Lars Frost; Gheorghe-Andrei Dan; Tatjana S Potpara; Mariya Tokmakova; Aldo Pietro Maggioni; Søren Paaske Johnsen; Deirdre A Lane; Gregory Y H Lip; Marco Proietti; null null,"To conduct an updated systematic review of the current evidence on the implementation of the 'Atrial fibrillation Better Care' (ABC) pathway for the comprehensive and holistic management of patients with Atrial Fibrillation (AF).We performed a systematic review and meta-analysis, searching MEDLINE and EMBASE for studies reporting the prevalence of ABC-adherent management in patients with AF and its association with clinical outcomes (all-cause death, cardiovascular death, stroke, stroke/thromboembolism (TE), and major bleeding). Random-effects models were used to pool results from individual studies; subgroup analyses and meta-regressions were also conducted.Overall, 22 studies were included (including 2 randomised trials), with >380,000 AF patients. Adherence to the ABC pathway was 23.9% (95%CI: 17.5%-31.7%), with substantial between-study heterogeneity (I<sup>2</sup>: 99.8%). Adherence was higher in European cohorts (37.9%, 95%CI: 27.8%-49.2%) and increased with advancing age. ABC pathway adherence was associated with a lower risk of all-cause death (Odds Ratio [OR]: 0.49, 95%CI: 0.41-0.58, I²: 97.1%), cardiovascular death (OR: 0.46, 95%CI: 0.36-0.59, I²: 96.4%), stroke (OR: 0.65, 95%CI: 0.51-0.82, I²: 93.5%), stroke/TE (OR: 0.53, 95%CI: 0.42-0.66, I²: 91.1%) and major bleeding (OR: 0.81, 95%CI: 0.69-0.94, I²: 89.2%). The effect of the ABC pathway was consistent in clinical trials versus real-world studies, but influenced by study-level characteristics, including geographical location, mean age, prevalence of comorbidities, and the inclusion of estimates adjusted for potential confounders.Adherence to the ABC pathway remains suboptimal in patients with AF, but is associated with substantial beneficial effects on prognosis. Our data support widespread implementation of the ABC pathway for managing patients with AF.",,,
